symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
BAJFINANCE,2021-02-22,2021-03-01,538.5589599609375,515.7302856445312,-0.0423884402889928,7,Financials,LONG,
ICICIBANK,2021-02-08,2021-03-01,593.9983520507812,578.1363525390625,-0.026703776966645054,21,Financials,LONG,
WIPRO,2021-02-22,2021-03-01,198.615234375,189.5379180908203,-0.04570302128506942,7,IT,LONG,
IOC,2021-02-08,2021-03-01,45.908592224121094,47.371299743652344,0.031861301962614386,21,Energy,LONG,
ASTRAL,2021-02-01,2021-03-01,956.7731323242188,1185.7679443359375,0.23934076352608114,28,Capital Goods,LONG,
SHRIRAMFIN,2021-02-08,2021-03-08,252.7963409423828,235.40391540527344,-0.0688001474715706,28,Financials,LONG,
TATAPOWER,2021-03-01,2021-03-08,91.40875244140625,103.1290512084961,0.1282185617247391,7,Utilities,LONG,
M&M,2021-02-15,2021-03-08,866.7537231445312,801.7388916015625,-0.07500957862297819,21,Auto,LONG,
BDL,2021-03-01,2021-03-08,164.57962036132812,169.91212463378906,0.03240075691482103,7,Defence,LONG,
CGPOWER,2021-03-01,2021-03-08,55.76375198364258,60.949928283691406,0.09300264267673586,7,Capital Goods,LONG,
TORNTPOWER,2021-03-01,2021-03-15,339.7588195800781,366.85589599609375,0.07975385730826945,14,Utilities,LONG,
BANKBEES,2021-02-08,2021-03-15,357.80999755859375,356.1600036621094,-0.004611368904565594,35,Other,LONG,
ICICIBANK,2021-03-08,2021-03-15,589.4525146484375,592.7409057617188,0.005578720985256247,7,Financials,LONG,
APOLLOHOSP,2021-03-01,2021-03-15,3019.17431640625,2937.936279296875,-0.026907368901466167,14,Healthcare,LONG,
INDIGO,2021-03-08,2021-03-15,1739.0611572265625,1661.142822265625,-0.044804827384679724,7,Aviation,LONG,
MAZDOCK,2021-03-08,2021-03-15,103.01280212402344,102.57157135009766,-0.004283261544468564,7,Defence,LONG,
HINDZINC,2021-03-08,2021-03-22,207.21629333496094,188.52059936523438,-0.09022308848805316,14,Metals,LONG,
COCHINSHIP,2021-03-15,2021-03-22,171.69793701171875,162.3599395751953,-0.05438619472688311,7,Defence,LONG,
TATAPOWER,2021-03-15,2021-03-22,108.79708099365234,100.05487823486328,-0.08035328410418585,7,Utilities,LONG,
NBCC,2021-03-01,2021-03-22,27.105093002319336,28.496715545654297,0.05134173652220575,21,Industrials,LONG,
GRAVITA,2021-03-08,2021-03-22,101.33235168457031,97.42179870605469,-0.03859135718756912,14,Metals,LONG,
BEL,2021-01-25,2021-03-22,40.614280700683594,39.660091400146484,-0.023493935730863447,56,Defence,LONG,
NHPC,2021-03-15,2021-03-22,20.533145904541016,20.407690048217773,-0.006109918904121603,7,Utilities,LONG,
LTIM,2021-03-15,2021-04-05,3784.548095703125,3875.721923828125,0.02409107397221777,21,IT,LONG,
ONGC,2021-03-15,2021-04-05,84.20695495605469,76.37543487548828,-0.09300324521476244,21,Energy,LONG,
ASTRAL,2021-03-15,2021-04-05,1395.06201171875,1252.327880859375,-0.10231382523528332,21,Capital Goods,LONG,
ITC,2021-03-22,2021-04-12,175.26368713378906,167.52049255371094,-0.04418025608560483,21,FMCG,LONG,
AXISBANK,2021-03-22,2021-04-12,723.230224609375,665.421630859375,-0.07993110877137788,21,Financials,LONG,
INDIGO,2021-03-22,2021-04-12,1660.79345703125,1644.1715087890625,-0.010008437937791492,21,Aviation,LONG,
BANKBEES,2021-03-22,2021-04-19,342.5400085449219,322.3900146484375,-0.05882522740067553,28,Other,LONG,
ICICIBANK,2021-03-22,2021-04-19,567.4005737304688,548.3469848632812,-0.03358048925103574,28,Financials,LONG,
SUNPHARMA,2021-04-12,2021-04-19,606.05908203125,614.91064453125,0.014605114851729217,7,Pharma,LONG,
BHARTIARTL,2021-04-19,2021-04-26,518.7675170898438,501.3553161621094,-0.03356455513138612,7,Telecom,LONG,
ASTRAL,2021-04-19,2021-04-26,1246.9034423828125,1258.08642578125,0.008968604158367643,7,Capital Goods,LONG,
LTIM,2021-04-12,2021-04-26,4126.19921875,3676.177490234375,-0.10906446942034842,14,IT,LONG,
JSWENERGY,2021-04-05,2021-04-26,87.96926879882812,99.41400909423828,0.1300993000360442,21,Utilities,LONG,
ICICIBANK,2021-04-26,2021-05-03,551.24853515625,580.7962036132812,0.05360135505603836,7,Financials,LONG,
M&M,2021-03-22,2021-05-03,811.1834106445312,717.9302368164062,-0.11495941929338771,42,Auto,LONG,
POLYCAB,2021-04-26,2021-05-10,1444.66455078125,1425.2601318359375,-0.013431781748101224,14,Capital Goods,LONG,
SHRIRAMFIN,2021-03-22,2021-05-10,250.8789825439453,237.91619873046875,-0.0516694690086521,49,Financials,LONG,
HINDZINC,2021-04-26,2021-05-10,199.2989044189453,206.15179443359375,0.034384985881523056,14,Metals,LONG,
ASTRAL,2021-05-03,2021-05-10,1173.4141845703125,1173.00537109375,-0.0003483965695473268,7,Capital Goods,LONG,
TATACONSUM,2021-04-05,2021-05-17,625.4724731445312,620.6622924804688,-0.007690475393552609,42,FMCG,LONG,
GRAVITA,2021-05-10,2021-05-17,104.80296325683594,103.1409912109375,-0.015858063496024588,7,Metals,LONG,
ADANIPORTS,2021-02-01,2021-05-17,494.774658203125,712.0697631835938,0.43917994056045684,105,Industrials,LONG,
JSWENERGY,2021-05-10,2021-05-17,113.28347778320312,110.7132568359375,-0.022688400793842156,7,Utilities,LONG,
BAJFINANCE,2021-05-03,2021-05-24,534.0481567382812,551.6656494140625,0.03298858436920882,21,Financials,LONG,
SUZLON,2021-05-17,2021-05-24,5.187908172607422,5.004265785217285,-0.03539815688330483,7,Renewables,LONG,
ONGC,2021-04-26,2021-05-24,74.94822692871094,82.52354431152344,0.10107400392564281,28,Energy,LONG,
COALINDIA,2021-05-17,2021-05-24,96.85871124267578,97.12262725830078,0.0027247525002038753,7,Energy,LONG,
CPSEETF,2021-05-17,2021-05-24,24.90999984741211,25.049999237060547,0.005620208370373803,7,Other,LONG,
HINDZINC,2021-05-24,2021-05-31,229.2386016845703,217.32928466796875,-0.051951621276196125,7,Metals,LONG,
HINDALCO,2021-02-15,2021-05-31,280.6419982910156,374.2054443359375,0.3333907491205217,105,Metals,LONG,
COFORGE,2021-05-10,2021-05-31,634.7547607421875,667.8054809570312,0.052068487326033086,21,IT,LONG,
ASTRAL,2021-05-24,2021-05-31,1302.5963134765625,1399.343505859375,0.07427258267344494,7,Capital Goods,LONG,
BAJFINANCE,2021-05-31,2021-06-07,549.6085205078125,587.0963745117188,0.06820828390591394,7,Financials,LONG,
BEL,2021-05-10,2021-06-07,43.21711730957031,47.886688232421875,0.10804910677875079,28,Defence,LONG,
PFC,2021-05-17,2021-06-07,66.57472229003906,71.70940399169922,0.07712659587659165,21,Financials,LONG,
ASIANPAINT,2021-05-31,2021-06-07,2814.75341796875,2799.630126953125,-0.005372865317111342,7,Consumer Disc.,LONG,
SOLARINDS,2021-05-31,2021-06-14,1390.963623046875,1622.0234375,0.1661149225074583,14,Defence,LONG,
SHRIRAMFIN,2021-05-24,2021-06-14,271.1197509765625,270.4963684082031,-0.002299288657923171,21,Financials,LONG,
GRASIM,2021-02-08,2021-06-14,1152.0252685546875,1447.7777099609375,0.2567239187186374,126,Cement,LONG,
DIXON,2021-02-08,2021-06-14,3254.9365234375,4180.39013671875,0.2843230909780967,126,Capital Goods,LONG,
IRFC,2021-05-24,2021-06-14,20.46734619140625,21.431547164916992,0.04710923265252576,21,Railways,LONG,
COFORGE,2021-06-07,2021-06-14,696.2760009765625,749.9653930664062,0.07710935320841394,7,IT,LONG,
SUZLON,2021-06-07,2021-06-14,6.748871803283691,6.5193190574646,-0.03401349922032926,7,Renewables,LONG,
POLYCAB,2021-05-24,2021-06-14,1582.147216796875,1773.1256103515625,0.12070835856939488,21,Capital Goods,LONG,
ONGC,2021-06-07,2021-06-14,91.81888580322266,90.4282455444336,-0.015145470854104559,7,Energy,LONG,
WIPRO,2021-04-19,2021-06-14,216.74676513671875,256.05865478515625,0.1813724399699368,56,IT,LONG,
BAJAJFINSV,2021-04-12,2021-06-14,960.7435913085938,1188.0770263671875,0.23662237990986879,63,Financials,LONG,
FORTIS,2021-05-31,2021-06-14,228.659423828125,231.54127502441406,0.012603246995213535,14,Healthcare,LONG,
MOTHERSON,2021-02-15,2021-06-14,52.1085090637207,64.61402130126953,0.23998983011117248,119,Auto,LONG,
CHOLAFIN,2021-02-08,2021-06-14,445.1872863769531,556.50048828125,0.2500367942000139,126,Financials,LONG,
SBIN,2021-02-08,2021-06-21,362.71990966796875,384.5072021484375,0.060066436662968625,133,Financials,LONG,
TORNTPOWER,2021-06-14,2021-06-28,413.4859313964844,407.1232604980469,-0.015387877592228039,14,Utilities,LONG,
LT,2021-06-14,2021-06-28,1426.6875,1446.0458984375,0.013568772725281564,14,Industrials,LONG,
ADANIPORTS,2021-06-07,2021-06-28,809.4327392578125,696.1883544921875,-0.13990586156604112,21,Industrials,LONG,
GOLDBEES,2021-06-14,2021-06-28,42.630001068115234,40.95000076293945,-0.03940887316637498,14,Other,LONG,
LIQUIDBEES,2021-06-14,2021-06-28,835.0631103515625,835.0631103515625,0.0,14,Other,LONG,
GRASIM,2021-06-28,2021-07-05,1463.5609130859375,1446.9520263671875,-0.011348271582171443,7,Cement,LONG,
BAJFINANCE,2021-06-28,2021-07-05,595.1630859375,587.5176391601562,-0.01284596937879745,7,Financials,LONG,
DIXON,2021-06-28,2021-07-05,4489.31640625,4509.02392578125,0.004389870917499428,7,Capital Goods,LONG,
SUZLON,2021-06-28,2021-07-05,7.1161580085754395,8.080282211303711,0.13548381044468627,7,Renewables,LONG,
COFORGE,2021-06-28,2021-07-05,772.34765625,791.0548095703125,0.02422115632633859,7,IT,LONG,
JSWSTEEL,2021-04-05,2021-07-05,481.59326171875,635.4664916992188,0.3195086854648115,91,Metals,LONG,
WIPRO,2021-06-28,2021-07-05,252.9174041748047,248.80606079101562,-0.016255676026737498,7,IT,LONG,
TITAGARH,2021-06-28,2021-07-05,65.24504089355469,71.480224609375,0.09556563426778797,7,Railways,LONG,
BAJAJFINSV,2021-06-28,2021-07-05,1245.857177734375,1172.4073486328125,-0.05895525619969777,7,Financials,LONG,
SBIN,2021-06-28,2021-07-05,399.3138122558594,395.21636962890625,-0.01026120935763597,7,Financials,LONG,
TATACONSUM,2021-06-28,2021-07-05,733.0159912109375,738.8212280273438,0.007919659169803417,7,FMCG,LONG,
MOTHERSON,2021-06-28,2021-07-05,62.50114822387695,64.81210327148438,0.0369746014797947,7,Auto,LONG,
RITES,2021-06-28,2021-07-05,109.20692443847656,110.33797454833984,0.010356944998487494,7,Railways,LONG,
MAXHEALTH,2021-06-28,2021-07-05,255.18829345703125,278.63153076171875,0.0918664292436866,7,Healthcare,LONG,
CHOLAFIN,2021-06-28,2021-07-05,526.4140014648438,504.8387756347656,-0.04098528110962307,7,Financials,LONG,
BEL,2021-06-28,2021-07-12,54.844058990478516,56.67741012573242,0.0334284363520978,14,Defence,LONG,
POLYCAB,2021-06-21,2021-07-12,1883.3258056640625,1892.90625,0.0050869819269319105,21,Capital Goods,LONG,
COFORGE,2021-07-12,2021-07-19,821.1366577148438,857.174560546875,0.043887826092579685,7,IT,LONG,
