date,nav,dd,n_positions,regime
2023-10-23,1535221.8126229164,0.03669634636678293,19,1
2023-10-25,1518913.84483268,0.04692908591392888,15,1
2023-10-26,1510363.9036930786,0.05229390646976472,14,1
2023-10-27,1528672.9642550426,0.040805543818247414,14,1
2023-10-30,1527816.5499916694,0.041342916973154294,19,3
2023-10-31,1529015.6398674715,0.040590525593030946,19,3
2023-11-01,1525720.2356854242,0.04265828861115849,19,3
2023-11-02,1545934.5483606877,0.02997443986978547,19,3
2023-11-03,1556718.7314603932,0.023207702388608527,19,3
2023-11-06,1573363.0857144487,0.012763890860224865,19,1
2023-11-07,1585195.4088696116,0.00533947828829581,19,1
2023-11-08,1597336.9681662035,0.0,19,1
2023-11-09,1595496.4447530601,0.0011522449237848268,19,1
2023-11-10,1601215.236724808,0.0,19,1
2023-11-13,1631430.8134430244,0.0,19,3
2023-11-15,1649245.0900454072,0.0,19,3
2023-11-16,1653141.4073840305,0.0,19,3
2023-11-17,1684692.2548689288,0.0,19,3
2023-11-20,1677732.6504195086,0.004131083543184985,19,0
2023-11-21,1677782.193987206,0.004101675461350257,19,0
2023-11-22,1663401.6259989627,0.012637696177704915,17,0
2023-11-23,1660489.9394051703,0.014366015747868154,17,0
2023-11-24,1670739.824950699,0.008281886426381968,17,0
2023-11-28,1680511.3183790057,0.002481721203287921,17,0
2023-11-29,1703515.0460273721,0.0,17,0
2023-11-30,1732618.827287961,0.0,17,0
2023-12-01,1747764.1370117727,0.0,17,0
2023-12-04,1775454.9537543743,0.0,19,0
2023-12-05,1770427.6917585093,0.0028315345231566657,19,0
2023-12-06,1780430.4591527781,0.0,19,0
2023-12-07,1793826.4507469519,0.0,19,0
2023-12-08,1792504.058133253,0.0007371909434986395,19,0
2023-12-11,1812828.464883973,0.0,19,0
2023-12-12,1795105.198762652,0.00977658199031823,19,0
2023-12-13,1823936.824532364,0.0,19,0
2023-12-14,1852854.3267568618,0.0,19,0
2023-12-15,1852563.6059565349,0.00015690429416313943,18,0
2023-12-18,1856170.049555416,0.0,19,0
2023-12-19,1865717.6533229295,0.0,19,0
2023-12-20,1788638.1496099841,0.041313595106774716,19,0
2023-12-21,1828569.701146469,0.019910811322548353,19,0
2023-12-22,1831325.902195264,0.018433523993521918,19,0
2023-12-26,1859284.2331720516,0.0034482281600432354,19,0
2023-12-27,1868650.241190144,0.0,19,0
2023-12-28,1882454.7065322115,0.0,19,0
2023-12-29,1890620.8834668847,0.0,19,0
2024-01-01,1900661.9687919258,0.0,19,3
2024-01-02,1885263.4639124551,0.008101653598750166,19,3
2024-01-03,1894056.96049887,0.0034751094100410286,19,3
2024-01-04,1925983.2255408913,0.0,19,3
2024-01-05,1934137.297057709,0.0,19,3
2024-01-08,1926230.9785291927,0.004087775226993266,19,0
2024-01-09,1947155.601838266,0.0,19,0
2024-01-10,1963770.7496399938,0.0,19,0
2024-01-11,1973322.8380308822,0.0,19,0
2024-01-12,1985728.883285066,0.0,19,0
2024-01-15,1994724.132278301,0.0,19,1
2024-01-16,1997870.2831856746,0.0,19,1
2024-01-17,1988286.499482447,0.0047969999773688245,19,1
2024-01-18,1985571.542598743,0.006155925482469667,19,1
2024-01-19,2057331.7766925269,0.0,19,1
2024-01-23,2018490.8236618368,0.018879285038377627,18,1
2024-01-24,2067642.4567360186,0.0,18,1
2024-01-25,2081687.6663532194,0.0,18,1
2024-01-29,2115599.715122795,0.0,19,3
2024-01-30,2106588.2638547597,0.004259525657722261,19,3
2024-01-31,2136735.192784483,0.0,19,3
2024-02-01,2153828.397250008,0.0,19,3
2024-02-02,2193826.7526316554,0.0,19,3
2024-02-05,2198223.291520724,0.0,19,3
2024-02-06,2207342.5434740614,0.0,19,3
2024-02-07,2261569.297956336,0.0,19,3
2024-02-08,2276404.9671818037,0.0,19,3
2024-02-09,2229517.172705378,0.02059729931729721,15,3
2024-02-12,2127082.700335091,0.06559565147653587,19,2
2024-02-13,2149677.927952245,0.055669813173201445,14,2
2024-02-14,2191873.848830433,0.03713360301441459,13,2
2024-02-15,2241354.7280906807,0.015397189690073157,13,2
2024-02-16,2236981.3751088297,0.01731835619818581,13,2
2024-02-19,2250316.974369016,0.011460172152534294,19,1
2024-02-20,2239203.902912227,0.01634202385159602,19,1
2024-02-21,2196607.34443152,0.03505422976170773,18,1
2024-02-22,2217663.5341927344,0.025804474087838307,18,1
2024-02-23,2211045.071525486,0.028711892918259277,18,1
2024-02-26,2217429.715578852,0.025907188067667494,19,2
2024-02-27,2201666.933202288,0.03283160731811329,19,2
2024-02-28,2149699.3111596927,0.05566041976220643,18,2
2024-02-29,2160035.7020065584,0.05111975542704546,18,2
2024-03-01,2185380.9450545693,0.03998586518633475,18,2
2024-03-04,2203090.7225913927,0.032206152089526596,19,2
2024-03-05,2208319.299887194,0.029909294820639972,19,2
2024-03-06,2186944.073072817,0.0392992000099786,19,2
2024-03-07,2196701.245858586,0.03501297988375556,19,2
2024-03-11,2180956.3361403504,0.04192954786934019,19,2
2024-03-12,2148481.6184579027,0.05619533895248457,19,2
2024-03-13,2030219.560767773,0.10814657759195144,17,2
2024-03-14,2106529.930677787,0.07462426016154873,17,2
2024-03-15,2071463.0057364197,0.09002877976457008,17,2
2024-03-18,2057525.4489813037,0.09615139720568852,19,2
2024-03-19,2042634.0298395858,0.10269303604253993,19,2
2024-03-20,2042938.7354221148,0.10255918218660397,19,2
2024-03-21,2094260.5729917597,0.08001405585384011,19,2
2024-03-22,2110927.8361526104,0.07269230800970114,19,2
2024-03-26,2135119.590188308,0.0620651329751785,19,2
2024-03-27,2125148.214014507,0.06644545032536679,19,2
2024-03-28,2141037.2163511096,0.05946558401613391,19,2
2024-04-01,2191004.1972764065,0.037515631505199015,19,2
2024-04-02,2223024.0169631657,0.02344967217530004,19,2
2024-04-03,2234115.495470643,0.01857730602455815,19,2
2024-04-04,2237630.884432959,0.0170330338001534,19,2
2024-04-05,2244385.2284649964,0.014065923760677676,19,2
2024-04-08,2259203.183901818,0.00755655673220636,19,3
2024-04-09,2250477.03340385,0.01138985995538938,19,3
2024-04-10,2261758.738065235,0.006433929519447888,19,3
2024-04-12,2260441.638347536,0.007012517133113819,19,3
2024-04-15,2218487.034953825,0.025442719139591872,19,2
2024-04-16,2228541.284685884,0.02102599633455154,19,2
2024-04-18,2229826.707705587,0.020461323950580083,19,2
2024-04-19,2230797.812088816,0.02003472833282801,19,2
2024-04-22,2234717.929472975,0.01831266330456016,19,2
2024-04-23,2238093.3271709643,0.01682988772347886,19,2
2024-04-24,2251723.497912953,0.01084230162237181,19,2
2024-04-25,2269494.2374607297,0.003035808575672499,19,2
2024-04-26,2296307.461733925,0.0,19,2
2024-04-29,2308975.0847474625,0.0,19,2
2024-04-30,2307071.54119648,0.0008244106069212091,19,2
2024-05-02,2333316.7033642395,0.0,19,2
2024-05-03,2323816.476997739,0.004071554604140401,19,2
2024-05-06,2286019.2158378954,0.020270496267458818,19,3
2024-05-07,2238945.306568223,0.0404451725991372,18,3
2024-05-08,2269213.683810048,0.027472918469132912,18,3
2024-05-09,2218141.2976482464,0.0493612399679521,18,3
2024-05-10,2254551.3809923227,0.03375680731996255,18,3
2024-05-13,2263948.072023419,0.029729625318673097,19,2
2024-05-14,2293705.9978290205,0.01697613764908435,19,2
2024-05-15,2312952.3952720365,0.008727622813843134,19,2
2024-05-16,2345799.3488959894,0.0,19,2
2024-05-17,2386096.3515674355,0.0,19,2
2024-05-21,2473401.541791116,0.0,19,2
2024-05-22,2479966.7622738704,0.0,19,2
2024-05-23,2494048.5890751416,0.0,19,2
2024-05-24,2490594.6128380722,0.0013848873082100515,19,2
2024-05-27,2490267.864756761,0.0015158984211219634,19,3
2024-05-28,2458697.922326079,0.014174008840048876,19,3
2024-05-29,2471304.910677729,0.009119180154323442,19,3
2024-05-30,2446407.0403319853,0.019102093259868277,18,3
2024-05-31,2465086.5668313247,0.011612453089599488,18,3
2024-06-03,2533859.324628632,0.0,19,3
2024-06-04,2308959.5262107216,0.08875780759883829,16,3
2024-06-05,2336975.7711070855,0.07770105925292527,16,3
2024-06-06,2408904.8193387105,0.0493139078698598,16,3
2024-06-07,2433004.8973306823,0.03980269398449388,16,3
2024-06-10,2429953.13708445,0.04100708612125129,19,3
2024-06-11,2464835.226775555,0.027240698480052138,19,3
2024-06-12,2481806.341769264,0.020542964778440084,19,3
2024-06-13,2529579.9253723333,0.0016888858882984682,19,3
2024-06-14,2601043.100346738,0.0,19,3
2024-06-18,2637192.337476514,0.0,19,3
2024-06-19,2594731.8212405336,0.016100652058093714,19,3
2024-06-20,2600116.056450758,0.014058997707096848,19,3
2024-06-21,2585115.148452468,0.019747209289208464,19,3
2024-06-24,2590630.2910043783,0.01765591603253706,19,3
2024-06-25,2583623.414561653,0.02031286158146508,19,3
2024-06-26,2586665.1054077214,0.019159479326085534,19,3
2024-06-27,2626030.1840669885,0.004232589808070718,19,3
2024-06-28,2620374.2540548933,0.006377268423930538,19,3
2024-07-01,2646645.98229697,0.0,19,2
2024-07-02,2640154.7861717464,0.002452612162201682,19,2
2024-07-03,2691245.7654574662,0.0,19,2
2024-07-04,2755038.670785634,0.0,19,2
2024-07-05,2797530.6900151414,0.0,19,2
2024-07-08,2807470.57677312,0.0,19,1
2024-07-09,2783645.1261654138,0.008486447126042929,19,1
2024-07-10,2779879.400063293,0.009827770569741845,19,1
2024-07-11,2805203.20667852,0.0008076202519658202,19,1
2024-07-12,2777746.3334699897,0.010587552920071968,19,1
2024-07-15,2784200.7882518037,0.00828852445109592,19,1
2024-07-16,2744049.451356264,0.022590130041452435,19,1
2024-07-18,2660933.3059063847,0.05219547876265329,19,1
2024-07-19,2607093.048815198,0.07137297523817127,15,1
2024-07-22,2640142.0516741173,0.05960116785670059,19,2
2024-07-23,2569738.8215762777,0.0846782713107145,15,2
2024-07-24,2581533.7938692854,0.080476990488543,14,2
2024-07-25,2555772.362453485,0.08965301948379979,14,2
2024-07-26,2586054.8380048396,0.07886662841637815,13,2
2024-07-29,2665704.637489995,0.05049596617538536,19,1
2024-07-30,2675188.75074829,0.047117796040047316,19,1
2024-07-31,2674187.1118924324,0.04747457230126429,19,1
2024-08-01,2642442.268414637,0.058781847875380044,19,1
2024-08-02,2645274.6159113543,0.057772986902748694,19,1
2024-08-05,2508857.378005431,0.10636378569313884,19,0
2024-08-06,2479612.1925257905,0.11678070180317503,16,0
2024-08-07,2566180.921014875,0.08594556885279309,16,0
2024-08-08,2566485.918714277,0.08583693095577463,16,0
2024-08-09,2604778.972073165,0.07219723204826144,16,0
2024-08-12,2619415.1424901974,0.06698393772627594,19,0
2024-08-13,2578519.862160402,0.08155053039803252,19,0
2024-08-14,2577152.3372507268,0.0820376325322415,19,0
2024-08-16,2620789.0369332344,0.06649456681197195,19,0
2024-08-19,2629045.600071276,0.06355364083883792,19,3
2024-08-20,2615142.827008606,0.06850570451412312,19,3
2024-08-21,2622163.1090780813,0.06600513260161373,19,3
2024-08-22,2618346.746152164,0.06736449250283266,19,3
2024-08-23,2628705.7725949683,0.0636746848416208,19,3
2024-08-26,2602093.7043112167,0.07315370432054949,19,2
2024-08-27,2600076.247306207,0.07387230740109482,19,2
2024-08-28,2620166.1505109766,0.06671643429204856,19,2
2024-08-29,2597571.559643714,0.07476445839395468,19,2
2024-08-30,2595201.1098783454,0.07560879485289396,19,2
2024-09-02,2572355.764152621,0.0837461359579903,19,0
2024-09-03,2582512.814394066,0.08012827070751291,19,0
2024-09-04,2582808.0154606313,0.08002312229776376,19,0
2024-09-05,2577794.3521988764,0.08180895161445692,19,0
2024-09-06,2535878.2593638,0.09673915005780252,19,0
2024-09-09,2524860.134492196,0.10066372364470287,19,2
2024-09-10,2545914.1901204153,0.0931644266610036,19,2
2024-09-11,2553225.450226006,0.09056021055057357,19,2
2024-09-12,2600759.7998571754,0.07362883110017703,19,2
2024-09-13,2609244.311329408,0.07060671163704639,19,2
2024-09-16,2620800.5812206334,0.06649045482323218,19,2
2024-09-17,2618493.5575864217,0.06731219936912278,19,2
2024-09-18,2626178.887038025,0.06457474255828888,19,2
2024-09-19,2609454.9915474006,0.07053166892075383,19,2
2024-09-20,2662899.562323597,0.05149511294814418,19,2
2024-09-23,2686412.2073591766,0.043120084824926935,19,2
2024-09-24,2684450.6988827325,0.04381875945848217,19,2
2024-09-25,2674078.815252061,0.04751314675375096,19,2
2024-09-26,2699718.275478785,0.03838056298284865,19,2
2024-09-27,2694099.8461482143,0.040381805445388864,19,2
2024-09-30,2649339.554151824,0.05632508633556194,19,2
2024-10-01,2654322.681409932,0.05455013371474568,19,2
2024-10-03,2579271.46055888,0.08128281667568886,18,2
2024-10-04,2543156.4523643698,0.09414671220260853,17,2
2024-10-07,2508874.9231188656,0.10635753625509319,19,2
2024-10-08,2580395.6701475205,0.08088238163713805,18,2
2024-10-09,2620020.506979867,0.06676831142740115,18,2
2024-10-10,2623091.7438390674,0.06567435985241062,18,2
2024-10-11,2634989.8447490963,0.061436345388976965,18,2
2024-10-14,2647090.465539557,0.057126194860393706,19,2
2024-10-15,2644960.7598066432,0.05788478009741569,19,2
2024-10-16,2636796.684536296,0.06079276258453084,19,2
2024-10-17,2585494.9261891153,0.07906606481309646,19,2
2024-10-18,2590319.858882183,0.07734745991194958,18,2
2024-10-21,2563703.9022185453,0.0868278644026816,19,2
2024-10-22,2510303.699613041,0.10584861676507402,18,2
2024-10-23,2513145.597232827,0.10483635411010699,18,2
2024-10-24,2494418.3849248188,0.11150684692415211,18,2
2024-10-25,2463413.0280169784,0.12255072291856328,17,2
2024-10-28,2472486.815637636,0.11931870770325623,19,2
2024-10-29,2482057.7475887034,0.11590961339956164,18,2
2024-10-30,2493763.140697494,0.11174024001213159,18,2
2024-10-31,2478327.2187440465,0.11723839984367274,18,2
2024-11-01,2485601.2899530563,0.11464743013977276,18,2
2024-11-04,2461150.522122829,0.1233566105787466,19,2
2024-11-05,2454403.5409292714,0.12575983476544947,19,2
2024-11-06,2484232.023958778,0.11513515243528194,19,2
2024-11-07,2451180.618307496,0.1269078156734025,19,2
2024-11-08,2443283.118936744,0.1297208458209274,19,2
2024-11-11,2430884.693981366,0.13413707196340346,19,2
2024-11-12,2388675.127127995,0.14917180365483468,18,2
2024-11-13,2341748.9310627235,0.16588656335828553,18,2
2024-11-14,2348053.53587564,0.16364091032630868,18,2
2024-11-18,2375769.2792105223,0.15376877005734862,19,3
2024-11-19,2405945.0794211323,0.14302037594762518,19,3
2024-11-21,2431264.06070986,0.13400194437502105,19,3
2024-11-22,2461766.9836996887,0.12313703158049828,19,3
2024-11-25,2438861.236989723,0.131295887063961,19,3
2024-11-26,2409008.814282848,0.14192909652797153,19,3
2024-11-27,2428465.806158444,0.13499866169578903,19,3
2024-11-28,2423518.489761169,0.13676085875609137,19,3
2024-11-29,2435105.3654011292,0.13263370040372208,19,3
2024-12-02,2428971.957152883,0.13481837450110687,19,0
2024-12-03,2442020.7147765756,0.13017050473119798,19,0
2024-12-04,2443755.6891259686,0.1295525198576442,19,0
2024-12-05,2451451.720808025,0.12681125099245022,19,0
2024-12-06,2452685.2874653884,0.1263718637847733,19,0
2024-12-09,2458703.5180808855,0.1242282150978423,19,0
2024-12-10,2468025.0044627907,0.12090797143829195,19,0
2024-12-11,2477882.051744433,0.11739696499598327,19,0
2024-12-12,2492335.8808381213,0.11224861928818916,19,0
2024-12-13,2471245.300129804,0.1197609262319573,19,0
2024-12-16,2469543.8756162226,0.1203669609051815,19,2
2024-12-17,2457910.0715742474,0.12451083480299699,19,2
2024-12-18,2462321.395196291,0.12293955435627045,19,2
2024-12-19,2443605.9039844377,0.12960587220362074,19,2
2024-12-20,2403793.3749720454,0.14378679696264435,19,2
2024-12-23,2422980.945403815,0.13695232803160276,16,3
2024-12-24,2412302.782918888,0.14075580956165676,16,3
2024-12-26,2425049.3706842405,0.1362155704329521,16,3
2024-12-27,2432248.7835880816,0.13365119345838875,16,3
2024-12-30,2426098.067004025,0.13584203265540223,1,2
2024-12-31,2428160.1948465067,0.1351075181569985,1,2
2025-01-01,2437689.3528075544,0.13171330343578835,1,2
2025-01-02,2448870.6574936667,0.1277306064206823,1,2
2025-01-03,2464171.213724047,0.12228066284621873,1,2
2025-01-06,2438691.8154772636,0.13135623373824534,19,2
2025-01-07,2445195.6240761885,0.12903962580912492,19,2
2025-01-08,2450373.153821846,0.12719542847772905,19,2
2025-01-09,2455243.288449568,0.12546072298588382,19,2
2025-01-10,2467143.1250790963,0.12122209027215983,19,2
2025-01-13,2477441.588322605,0.11755385476910225,1,3
2025-01-14,2469588.600165892,0.12035103035544062,1,3
2025-01-15,2477815.6216549734,0.11742062689648879,1,3
2025-01-16,2490155.868584757,0.1130251233311522,1,3
2025-01-17,2492773.8166075,0.11209262984594823,1,3
2025-01-20,2490155.868584757,0.1130251233311522,1,1
2025-01-21,2503618.2155116475,0.10822993614797473,1,1
2025-01-22,2528673.313311261,0.09930549789850546,1,1
2025-01-23,2521568.106515447,0.1018363193627078,1,1
2025-01-24,2534282.3867776003,0.09730758792475742,1,1
2025-01-27,2531290.976030166,0.09837310603639254,1,0
2025-01-28,2527177.4652856253,0.09983830776586838,1,0
2025-01-29,2537648.1161612426,0.09610874031741727,1,0
