date,from,to,probs
2024-04-08,2.0,3,"[7.234001516847358e-05, 0.00012273878102215833, 0.2687629424557412, 0.7310419787480609]"
2024-04-15,3.0,2,"[6.110378977997013e-06, 3.1633204638260054e-06, 0.7310554425845702, 0.2689352837159921]"
2024-05-06,2.0,3,"[0.0936840572299989, 2.75628450074216e-07, 0.2721740702063383, 0.6341415969352291]"
2024-05-13,3.0,2,"[0.03446735039653761, 6.472523344802109e-05, 0.568209124599099, 0.3972587997709005]"
2024-05-27,2.0,3,"[1.071182561613632e-06, 2.3811259874337062e-05, 0.20859490389571866, 0.7913802136618499]"
2024-07-01,3.0,2,"[5.1953351144367146e-05, 0.19565810470916312, 0.8032023206303041, 0.0010876213093780939]"
2024-07-08,2.0,1,"[0.0011756558358306114, 0.7437070593434266, 0.2550382162179492, 7.906860277274693e-05]"
2024-07-22,1.0,2,"[0.0024722246180511028, 0.3687615615098175, 0.6284472756790392, 0.0003189381930896293]"
2024-07-29,2.0,1,"[0.0009148037804138205, 0.7519535848329296, 0.24693925826773716, 0.00019235311893315752]"
2024-08-05,1.0,0,"[0.6154975856067827, 0.2578623740515747, 0.01175726073484376, 0.11488277960680214]"
2024-08-19,0.0,3,"[0.12500540051850512, 0.16107718131090723, 0.003163578150301331, 0.7107538400202889]"
2024-08-26,3.0,2,"[0.0069399541724172445, 0.20088938934638026, 0.5294442194546908, 0.26272643702650944]"
2024-09-02,2.0,0,"[0.7291218419183043, 0.0758287058547079, 0.1945767131423051, 0.0004727390846838331]"
2024-09-09,0.0,2,"[0.26825714762982783, 0.12167539036978753, 0.6089859747853021, 0.0010814872150859262]"
2024-11-18,2.0,3,"[0.07683319510326479, 0.0, 0.2619000034194244, 0.6612668014773054]"
2024-12-02,3.0,0,"[0.8215233912458829, 0.0, 0.1273039190406415, 0.051172689713469395]"
2024-12-16,0.0,2,"[0.250436477128811, 0.023279886422551483, 0.7082373049724143, 0.018046331476227213]"
2024-12-23,2.0,3,"[0.03021893363884012, 0.008564191607662888, 0.26900816822751594, 0.6922087065259778]"
2024-12-30,3.0,2,"[0.01379549389967628, 0.0, 0.7314873134361283, 0.254717192664204]"
2025-01-13,2.0,3,"[0.019661402703579266, 0.004903477121837797, 0.26461747269297575, 0.710817647481613]"
2025-01-20,3.0,1,"[0.0072330246676326785, 0.6352097946336275, 0.09314364440163267, 0.26441353629710673]"
2025-01-27,1.0,0,"[0.721379167951286, 0.23368062427644548, 0.04113678118713127, 0.0038034265851306943]"
2025-02-03,0.0,3,"[0.2653805651786389, 0.0007464870636525923, 0.0034322034366733286, 0.7304407443210529]"
2025-02-17,3.0,2,"[1.4415785042843273e-38, 0.0003821255180392358, 0.73100244013245, 0.2686154343495101]"
2025-03-03,2.0,3,"[0.0008951730171389016, 0.013967028542297612, 0.2607619410812113, 0.724375857359342]"
2025-03-17,3.0,0,"[0.6300032689565161, 0.046828980342585064, 0.10126426509266423, 0.22190348560823323]"
